Step,Perfect_Bit_Identity_Rate,Bit_Weight_Kinetic_Energy_Kb
0,0.141357421875,0.8166524566695443
10,0.245361328125,0.10228679920919603
20,0.244384765625,0.04793740262795154
30,0.24658203125,0.03536443213909024
40,0.276611328125,0.02426306169618897
50,0.263916015625,0.02432306324573119
60,0.280029296875,0.019996873083357514
70,0.266357421875,0.020095459190457632
80,0.28369140625,0.02039162673924011
90,0.281494140625,0.021471145157590854
100,0.2998046875,0.023677291191120275
110,0.306640625,0.022729738425255164
120,0.2978515625,0.026422643040291405
130,0.288330078125,0.024772685729999466
140,0.29931640625,0.023865599390148873
150,0.29736328125,0.02945040176700786
160,0.2978515625,0.022322357799225756
170,0.296875,0.024172893370121074
180,0.30419921875,0.0220899277674107
190,0.306396484375,0.025480604593440148
200,0.30712890625,0.027801249192634714
210,0.30322265625,0.023678890128735475
220,0.3173828125,0.026980631917354003
230,0.32177734375,0.027932321646176206
240,0.3037109375,0.026999811086852787
250,0.330078125,0.02741551342535331
260,0.337158203125,0.02795929303738376
270,0.32763671875,0.02769467476571208
280,0.3271484375,0.0262029738688625
290,0.335693359375,0.026125085349121946
300,0.326904296875,0.03102342429434657
310,0.34521484375,0.033538281692358396
320,0.333740234375,0.034241135287516045
330,0.3525390625,0.035145735878131745
340,0.353271484375,0.0344786756367057
350,0.3828125,0.03091126113656628
360,0.3740234375,0.034754583326730426
370,0.357666015625,0.03389899058663559
380,0.37353515625,0.03466981425424365
390,0.36669921875,0.031058342425126284
400,0.36767578125,0.030667492668101204
410,0.36572265625,0.03387062077177916
420,0.367919921875,0.03484055320529933
430,0.386474609375,0.03394666990936912
440,0.385009765625,0.03523242884625688
450,0.36962890625,0.03609869901413276
460,0.390625,0.03270013051132992
470,0.392333984375,0.03453118482661921
480,0.39892578125,0.03502633647201492
490,0.394775390625,0.032516112653411255
500,0.411376953125,0.034916809063588516
510,0.403076171875,0.03429250408311191
520,0.41015625,0.035098844315029964
530,0.38232421875,0.036206872550906155
540,0.4091796875,0.03651538528447418
550,0.413330078125,0.03433641963658829
560,0.405029296875,0.03538457064598788
570,0.416015625,0.03288086321765604
580,0.406005859375,0.03687069389457065
590,0.42578125,0.03691253736167255
600,0.43310546875,0.03631229727261598
610,0.420654296875,0.0344029363853906
620,0.421142578125,0.03702756521261108
630,0.423095703125,0.035192297457797395
640,0.426025390625,0.03515202495725589
650,0.41845703125,0.0345608642434172
660,0.420654296875,0.037383289364242955
670,0.42138671875,0.033285656383441165
680,0.41845703125,0.03573429444907106
690,0.436279296875,0.03741676978711439
700,0.43798828125,0.037168648655892866
710,0.43359375,0.036064041084500786
720,0.445068359375,0.03434827922706063
730,0.434814453125,0.03568173335656866
740,0.4384765625,0.03630477190699821
750,0.438232421875,0.03666039663528409
760,0.434814453125,0.03435562643119283
770,0.449951171875,0.03837235542050621
780,0.4287109375,0.035439030531733806
790,0.445068359375,0.0362006713868368
800,0.438720703125,0.03586704260646911
810,0.447265625,0.03768784603835229
820,0.444091796875,0.03692930468741906
830,0.439208984375,0.03660374751893869
840,0.44970703125,0.03702374910506023
850,0.45947265625,0.037094215349043225
860,0.443359375,0.035298353801863414
870,0.450927734375,0.035575624201783285
880,0.45068359375,0.036050396149107655
890,0.438232421875,0.035519910921607334
900,0.475830078125,0.03680000479255341
910,0.449462890625,0.035159274015995834
920,0.45849609375,0.03626838338016114
930,0.457275390625,0.03623221306816049
940,0.45751953125,0.03767517474500437
950,0.4677734375,0.03698324833897004
960,0.461669921875,0.03764102633317634
970,0.455810546875,0.037949702357309434
980,0.4521484375,0.036634366700354803
990,0.45654296875,0.03689623194145497
999,0.46630859375,0.03586015292330558
